date,open,high,low,close,volume,diversity
2021-07-18-01-53,0.91,0.84,0.84,0.91,1.443,6
2021-07-18-02-08,0.84,0.84,1.81,1.81,0.7215,6
2021-07-18-02-23,1.81,1.81,2.89,2.89,0.7215,6
2021-07-18-02-39,2.89,2.89,3.51,3.51,0.2232,6
2021-07-18-02-54,3.51,3.51,4.19,4.19,0.2232,6
2021-07-18-03-09,4.19,4.19,4.89,4.89,0.2232,6
2021-07-18-03-25,4.89,4.89,5.61,5.61,0.2232,6
2021-07-18-03-40,5.61,5.61,6.35,6.35,0.2232,6
2021-07-18-03-55,6.35,6.35,7.08,7.08,0.33399999999999996,6
2021-07-18-04-11,7.08,7.08,7.82,7.82,0.33399999999999996,6
2021-07-18-04-26,7.82,7.82,8.59,8.59,0.33399999999999996,6
2021-07-18-04-41,8.59,8.59,9.37,9.37,0.33399999999999996,6
2021-07-18-04-57,9.37,9.37,10.01,10.01,0.08,6
2021-07-18-05-12,10.01,10.01,10.67,10.67,0.08,6
2021-07-18-05-27,10.67,10.67,11.33,11.33,0.08,6
2021-07-18-05-42,11.33,11.33,12.03,12.03,0.08,6
2021-07-18-05-58,12.03,12.03,12.72,12.72,0.08,6
2021-07-18-06-13,12.72,12.72,13.35,13.35,0.0842,7
2021-07-18-06-28,13.35,13.35,14.03,14.03,0.0842,7
2021-07-18-06-44,14.03,14.03,14.74,14.74,0.0842,7
2021-07-18-06-59,14.74,14.74,15.47,15.47,0.0842,7
2021-07-18-07-14,15.47,15.47,16.22,16.22,0.0842,7
2021-07-18-07-30,16.22,16.22,16.97,16.97,0.0842,7
2021-07-18-07-45,16.97,16.97,17.74,17.74,0.0842,7
2021-07-18-08-00,17.74,17.74,18.62,18.62,0.0842,7
2021-07-18-08-16,18.62,18.62,19.52,19.52,0.0842,7
2021-07-18-08-31,19.52,19.52,20.35,20.35,0.051500000000000004,7
2021-07-18-08-46,20.35,20.35,21.18,21.18,0.051500000000000004,7
2021-07-18-09-02,21.18,21.18,22.01,22.01,0.051500000000000004,7
2021-07-18-09-17,22.01,22.01,23.04,23.04,0.051500000000000004,7
2021-07-18-09-32,23.04,23.04,24.03,24.03,0.2916,9
2021-07-18-09-47,24.03,24.03,24.85,24.85,0.1316,9
2021-07-18-10-03,24.85,24.85,25.7,25.7,0.1316,9
2021-07-18-10-18,25.7,25.7,26.55,26.55,0.1316,9
2021-07-18-10-33,26.55,26.55,27.43,27.43,0.1316,9
2021-07-18-10-49,27.43,27.43,28.31,28.31,0.1316,9
2021-07-18-11-04,28.31,28.31,29.17,29.17,0.1316,8
2021-07-18-11-19,29.17,29.17,29.95,29.95,0.6349,9
2021-07-18-11-34,29.95,29.95,30.79,30.79,0.6345000000000001,9
2021-07-18-11-50,30.79,30.79,31.41,31.41,0.1632,9
2021-07-18-12-05,31.41,31.41,32.08,32.08,0.1632,9
2021-07-18-12-20,32.08,32.08,32.85,32.85,0.1632,9
2021-07-18-12-36,32.85,32.85,33.66,33.66,0.1632,9
2021-07-18-12-51,33.66,33.66,34.5,34.5,0.1632,9
2021-07-18-13-06,34.5,31.270000000000003,31.270000000000003,34.5,0.1222,7
2021-07-18-13-22,31.270000000000003,28.03,28.03,31.270000000000003,0.1222,7
2021-07-18-13-37,28.03,24.79,24.79,28.03,0.0643,7
2021-07-18-13-52,24.79,21.48,21.48,24.79,0.1,7
2021-07-18-14-07,21.48,18.24,18.24,21.48,0.054299999999999994,6
2021-07-18-14-23,18.24,18.24,18.26,18.26,0.1816,6
2021-07-18-14-38,18.26,15.14,15.14,18.26,0.5126,8
2021-07-18-14-53,15.14,15.14,15.17,15.17,0.5126,8
2021-07-18-15-09,15.17,11.89,11.89,15.17,0.0548,9
2021-07-18-15-24,11.89,8.63,8.63,11.89,0.0548,9
2021-07-18-15-39,8.63,5.380000000000001,5.380000000000001,8.63,0.0548,9
2021-07-18-15-54,5.380000000000001,2.16,2.16,5.380000000000001,0.0548,9
2021-07-18-16-10,2.16,-1.0,-1.0,2.16,0.5648000000000001,9
2021-07-18-16-25,-1.0,-4.14,-4.14,-1.0,0.5648000000000001,9
2021-07-18-16-40,-4.14,-7.59,-7.59,-4.14,0.20350000000000001,9
2021-07-18-16-56,-7.59,-11.02,-11.02,-7.59,0.20350000000000001,9
2021-07-18-17-11,-11.02,-14.55,-14.55,-11.02,0.2119,9
2021-07-18-17-26,-14.55,-18.04,-18.04,-14.55,0.2119,9
2021-07-18-17-41,-18.04,-21.33,-21.33,-18.04,0.21170000000000003,8
2021-07-18-17-57,-21.33,-24.55,-24.55,-21.33,0.21170000000000003,6
2021-07-18-18-12,-24.55,-27.79,-27.79,-24.55,0.2116,4
2021-07-18-18-29,-27.79,-30.9,-30.9,-27.79,0.2116,4
2021-07-18-18-44,-30.9,-30.9,-30.9,-30.9,0,4
2021-07-18-18-59,-30.9,-30.9,-30.9,-30.9,0,4
2021-07-18-19-23,-30.9,-34.04,-34.04,-30.9,0.08220000000000001,5
2021-07-18-19-38,-34.04,-37.15,-37.15,-34.04,0.08220000000000001,5
2021-07-18-19-53,-37.15,-40.23,-40.23,-37.15,0.08220000000000001,5
2021-07-18-20-08,-40.23,-43.28,-43.28,-40.23,0.08220000000000001,5
2021-07-18-20-23,-43.28,-43.28,-43.28,-43.28,0,5
2021-07-18-20-24,-43.28,-46.56,-46.56,-43.28,0.1023,5
2021-07-18-20-39,-46.56,-49.96,-49.96,-46.56,0.23190000000000002,6
2021-07-18-20-54,-49.96,-53.35,-53.35,-49.96,0.23190000000000002,6
2021-07-18-21-10,-53.35,-56.63,-56.63,-53.35,0.23190000000000002,6
2021-07-18-21-25,-56.63,-59.86,-59.86,-56.63,0.23190000000000002,6
2021-07-18-21-40,-59.86,-63.03,-63.03,-59.86,0.23190000000000002,6
2021-07-18-21-55,-63.03,-66.33,-66.33,-63.03,0.09480000000000001,6
2021-07-18-22-11,-66.33,-69.6,-69.6,-66.33,0.09480000000000001,6
2021-07-18-22-26,-69.6,-72.83,-72.83,-69.6,0.09480000000000001,6
2021-07-18-22-41,-72.83,-76.04,-76.04,-72.83,0.09480000000000001,6
2021-07-18-22-57,-76.04,-79.21,-79.21,-76.04,0.09480000000000001,6
2021-07-18-23-12,-79.21,-82.39,-82.39,-79.21,0.09480000000000001,6
2021-07-18-23-27,-82.39,-85.56,-85.56,-82.39,0.09480000000000001,6
2021-07-18-23-43,-85.56,-88.7,-88.7,-85.56,0.09480000000000001,6
2021-07-18-23-58,-88.7,-91.83,-91.83,-88.7,0.09480000000000001,6
2021-07-19-00-13,-91.83,-91.83,-91.63,-91.63,0.09480000000000001,6
2021-07-19-00-28,-91.63,-91.63,-91.43,-91.43,0.09480000000000001,6
2021-07-19-00-44,-91.43,-91.43,-91.23,-91.23,0.09480000000000001,6
2021-07-19-00-59,-91.23,-91.23,-91.03,-91.03,0.09480000000000001,6
2021-07-19-01-14,-91.03,-91.03,-90.82,-90.82,0.09480000000000001,6
2021-07-19-01-30,-90.82,-90.82,-90.61,-90.61,0.09480000000000001,6
2021-07-19-01-45,-90.61,-90.61,-90.43,-90.43,0.09480000000000001,6
2021-07-19-02-00,-90.43,-90.43,-90.27,-90.27,0.09480000000000001,6
2021-07-19-02-16,-90.27,-90.27,-90.11,-90.11,0.09480000000000001,6
2021-07-19-02-31,-90.11,-90.11,-89.95,-89.95,0.09480000000000001,6
2021-07-19-02-46,-89.95,-89.95,-89.79,-89.79,0.09480000000000001,6
2021-07-19-03-01,-89.79,-89.79,-89.63,-89.63,0.09480000000000001,6
2021-07-19-03-17,-89.63,-89.63,-89.45,-89.45,0.09480000000000001,6
2021-07-19-03-32,-89.45,-89.45,-89.2,-89.2,0.09480000000000001,6
2021-07-19-03-47,-89.2,-89.2,-88.95,-88.95,0.09480000000000001,6
2021-07-19-04-03,-88.95,-88.95,-88.77,-88.77,0.09480000000000001,6
2021-07-19-04-18,-88.77,-88.77,-88.59,-88.59,0.09480000000000001,6
2021-07-19-04-33,-88.59,-88.59,-88.47,-88.47,0.09480000000000001,6
2021-07-19-04-49,-88.47,-88.47,-88.35,-88.35,0.09480000000000001,6
2021-07-19-05-04,-88.35,-88.35,-88.24,-88.24,0.09480000000000001,6
2021-07-19-05-19,-88.24,-88.24,-88.12,-88.12,0.09480000000000001,6
2021-07-19-05-34,-88.12,-88.12,-87.99,-87.99,0.09480000000000001,6
2021-07-19-05-50,-87.99,-87.99,-87.88,-87.88,0.09480000000000001,6
2021-07-19-06-05,-87.88,-87.88,-87.65,-87.65,0.09449999999999999,6
2021-07-19-06-20,-87.65,-87.65,-87.42,-87.42,0.09449999999999999,6
2021-07-19-06-36,-87.42,-87.42,-87.18,-87.18,0.312,6
2021-07-19-06-51,-87.18,-87.18,-86.94,-86.94,0.312,6
2021-07-19-07-06,-86.94,-86.94,-86.56,-86.56,0.312,6
2021-07-19-07-22,-86.56,-86.56,-86.42,-86.42,0.2616,6
