date,open,high,low,close,volume,diversity
2021-07-18 02:08:00,0.91,0.84,1.81,1.81,2.1645000000000003,6
2021-07-18 02:39:00,1.81,1.81,3.51,3.51,0.9447000000000001,6
2021-07-18 03:09:00,3.51,3.51,4.89,4.89,0.4464,6
2021-07-18 03:40:00,4.89,4.89,6.35,6.35,0.4464,6
2021-07-18 04:11:00,6.35,6.35,7.82,7.82,0.6679999999999999,6
2021-07-18 04:41:00,7.82,7.82,9.37,9.37,0.6679999999999999,6
2021-07-18 05:12:00,9.37,9.37,10.67,10.67,0.16,6
2021-07-18 05:42:00,10.67,10.67,12.03,12.03,0.16,6
2021-07-18 06:13:00,12.03,12.03,13.35,13.35,0.1642,7
2021-07-18 06:44:00,13.35,13.35,14.74,14.74,0.1684,7
2021-07-18 07:14:00,14.74,14.74,16.22,16.22,0.1684,7
2021-07-18 07:45:00,16.22,16.22,17.74,17.74,0.1684,7
2021-07-18 08:16:00,17.74,17.74,19.52,19.52,0.1684,7
2021-07-18 08:46:00,19.52,19.52,21.18,21.18,0.10300000000000001,7
2021-07-18 09:17:00,21.18,21.18,23.04,23.04,0.10300000000000001,7
2021-07-18 09:47:00,23.04,23.04,24.85,24.85,0.4232,9
2021-07-18 10:18:00,24.85,24.85,26.55,26.55,0.2632,9
2021-07-18 10:49:00,26.55,26.55,28.31,28.31,0.2632,9
2021-07-18 11:19:00,28.31,28.31,29.95,29.95,0.7665,9
2021-07-18 11:50:00,29.95,29.95,31.41,31.41,0.7977000000000001,9
2021-07-18 12:20:00,31.41,31.41,32.85,32.85,0.3264,9
2021-07-18 12:51:00,32.85,32.85,34.5,34.5,0.3264,9
2021-07-18 13:22:00,34.5,28.03,28.03,34.5,0.2444,7
2021-07-18 13:52:00,28.03,21.48,21.48,28.03,0.1643,7
2021-07-18 14:23:00,21.48,18.24,18.26,21.48,0.2359,6
2021-07-18 14:53:00,18.26,15.14,15.17,18.26,1.0252,8
2021-07-18 15:24:00,15.17,8.63,8.63,15.17,0.1096,9
2021-07-18 15:54:00,8.63,2.16,2.16,8.63,0.1096,9
2021-07-18 16:25:00,2.16,-4.14,-4.14,2.16,1.1296000000000002,9
2021-07-18 16:56:00,-4.14,-11.02,-11.02,-4.14,0.40700000000000003,9
2021-07-18 17:26:00,-11.02,-18.04,-18.04,-11.02,0.4238,9
2021-07-18 17:57:00,-18.04,-24.55,-24.55,-18.04,0.42340000000000005,8
2021-07-18 18:29:00,-24.55,-30.9,-30.9,-24.55,0.4232,4
2021-07-18 18:59:00,-30.9,-30.9,-30.9,-30.9,0.0,4
2021-07-18 19:38:00,-30.9,-37.15,-37.15,-30.9,0.16440000000000002,5
2021-07-18 20:08:00,-37.15,-43.28,-43.28,-37.15,0.16440000000000002,5
2021-07-18 20:24:00,-43.28,-46.56,-46.56,-43.28,0.1023,5
2021-07-18 20:54:00,-46.56,-53.35,-53.35,-46.56,0.46380000000000005,6
2021-07-18 21:25:00,-53.35,-59.86,-59.86,-53.35,0.46380000000000005,6
2021-07-18 21:55:00,-59.86,-66.33,-66.33,-59.86,0.32670000000000005,6
